District Code,District Name
0,ALL
10017,Alameda County Office of Education
10025,Alpine County Office of Education
10033,Amador County Office of Education
10041,Butte County Office of Education
10058,Calaveras County Office of Education
10066,Colusa County Office of Education
10074,Contra Costa County Office of Education
10082,Del Norte County Office of Education
10090,El Dorado County Office of Education
10108,Fresno County Office of Education
10116,Glenn County Office of Education
10124,Humboldt County Office of Education
10132,Imperial County Office of Education
10140,Inyo County Office of Education
10157,Kern County Office of Education
10165,Kings County Office of Education
10173,Lake County Office of Education
10181,Lassen County Office of Education
10199,Los Angeles County Office of Education
10207,Madera County Office of Education
10215,Marin County Office of Education
10223,Mariposa County Office of Education
10231,Mendocino County Office of Education
10249,Merced County Office of Education
10256,Modoc County Office of Education
10264,Mono County Office of Education
10272,Monterey County Office of Education
10280,Napa County Office of Education
10298,Nevada County Office of Education
10306,Orange County Department of Education
10314,Placer County Office of Education
10322,Plumas County Office of Education
10330,Riverside County Office of Education
10348,Sacramento County Office of Education
10355,San Benito County Office of Education
10363,San Bernardino County Office of Educatio
10371,San Diego County Office of Education
10389,San Francisco County Office of Education
10397,San Joaquin County Office of Education
10405,San Luis Obispo County Office of Educati
10413,San Mateo County Office of Education
10421,Santa Barbara County Office of Education
10439,Santa Clara County Office of Education
10447,Santa Cruz County Office of Education
10454,Shasta County Office of Education
10462,Sierra County Office of Education
10470,Siskiyou County Office of Education
10488,Solano County Office of Education
10496,Sonoma County Office of Education
10504,Stanislaus County Office of Education
10512,Sutter County Office of Education
10520,Tehama County Office of Education
10538,Trinity County Office of Education
10546,Tulare County Office of Education
10553,Tuolumne County Superintendent of School
10561,Ventura County Office of Education
10579,Yolo County Office of Education
10587,Yuba County Office of Education
31609,California School for the Blind (State S
31617,California School for the Deaf-Fremont (
31625,California School for the Deaf-Riverside
32276,California Education Authority
61119,Alameda City Unified
61127,Albany City Unified
61143,Berkeley Unified
61150,Castro Valley Unified
61168,Emery Unified
61176,Fremont Unified
61192,Hayward Unified
61200,Livermore Valley Joint Unified
61218,Mountain House Elementary
61234,Newark Unified
61242,New Haven Unified
61259,Oakland Unified
61275,Piedmont City Unified
61291,San Leandro Unified
61309,San Lorenzo Unified
61333,Alpine County Unified
61382,Bangor Union Elementary
61408,Biggs Unified
61424,Chico Unified
61432,Durham Unified
61440,Feather Falls Union Elementary
61457,Golden Feather Union Elementary
61499,Manzanita Elementary
61507,Oroville City Elementary
61515,Oroville Union High
61523,Palermo Union Elementary
61531,Paradise Unified
61549,Thermalito Union Elementary
61556,Bret Harte Union High
61564,Calaveras Unified
61572,Mark Twain Union Elementary
61580,Vallecito Union
61598,Colusa Unified
61606,Maxwell Unified
61614,Pierce Joint Unified
61622,Williams Unified
61630,Acalanes Union High
61648,Antioch Unified
61655,Brentwood Union Elementary
61663,Byron Union Elementary
61671,Canyon Elementary
61697,John Swett Unified
61705,Knightsen Elementary
61713,Lafayette Elementary
61721,Liberty Union High
61739,Martinez Unified
61747,Moraga Elementary
61754,Mt. Diablo Unified
61762,Oakley Union Elementary
61770,Orinda Union Elementary
61788,Pittsburg Unified
61796,West Contra Costa Unified
61804,San Ramon Valley Unified
61812,Walnut Creek Elementary
61820,Del Norte County Unified
61838,Buckeye Union Elementary
61846,Camino Union Elementary
61853,El Dorado Union High
61879,Gold Oak Union Elementary
61887,Gold Trail Union Elementary
61895,Indian Diggings Elementary
61903,Lake Tahoe Unified
61911,Latrobe
61929,Mother Lode Union Elementary
61945,Pioneer Union Elementary
61952,Placerville Union Elementary
61960,Pollock Pines Elementary
61978,Rescue Union Elementary
61986,Silver Fork Elementary
61994,Alvina Elementary
62026,Big Creek Elementary
62042,Burrel Union Elementary
62109,Clay Joint Elementary
62117,Clovis Unified
62125,Coalinga-Huron Joint Unified
62158,Fowler Unified
62166,Fresno Unified
62240,Kingsburg Elementary Charter
62257,Kingsburg Joint Union High
62265,Kings Canyon Joint Unified
62281,Laton Joint Unified
62323,Monroe Elementary
62331,Orange Center
62356,Pacific Union Elementary
62364,Parlier Unified
62372,Pine Ridge Elementary
62380,Raisin City Elementary
62414,Sanger Unified
62430,Selma Unified
62513,Washington Colony Elementary
62539,West Park Elementary
62547,Westside Elementary
62554,Capay Joint Union Elementary
62596,Lake Elementary
62638,Plaza Elementary
62646,Princeton Joint Unified
62653,Stony Creek Joint Unified
62661,Willows Unified
62679,Arcata Elementary
62687,Northern Humboldt Union High
62695,Big Lagoon Union Elementary
62703,Blue Lake Union Elementary
62729,Bridgeville Elementary
62737,Cuddeback Union Elementary
62745,Cutten Elementary
62794,Fieldbrook Elementary
62810,Fortuna Union High
62828,Freshwater Elementary
62836,Garfield Elementary
62851,Green Point Elementary
62885,Hydesville Elementary
62893,Jacoby Creek Elementary
62901,Klamath-Trinity Joint Unified
62919,Kneeland Elementary
62927,Loleta Union Elementary
62935,Maple Creek Elementary
62950,McKinleyville Union Elementary
62968,Orick Elementary
62976,Pacific Union Elementary
62984,Peninsula Union
63008,Rio Dell Elementary
63024,Scotia Union Elementary
63032,South Bay Union Elementary
63040,Southern Humboldt Joint Unified
63057,Trinidad Union Elementary
63073,Brawley Elementary
63081,Brawley Union High
63099,Calexico Unified
63107,Calipatria Unified
63115,Central Union High
63123,El Centro Elementary
63131,Heber Elementary
63149,Holtville Unified
63164,Imperial Unified
63172,Magnolia Union Elementary
63180,McCabe Union Elementary
63198,Meadows Union Elementary
63206,Mulberry Elementary
63214,San Pasqual Valley Unified
63222,Seeley Union Elementary
63230,Westmorland Union Elementary
63248,Big Pine Unified
63271,Death Valley Unified
63289,Lone Pine Unified
63297,Owens Valley Unified
63305,Round Valley Joint Elementary
63313,Arvin Union Elementary
63321,Bakersfield City
63339,Beardsley Elementary
63347,Belridge Elementary
63354,Blake Elementary
63362,Panama-Buena Vista Union
63370,Buttonwillow Union Elementary
63388,Caliente Union Elementary
63404,Delano Union Elementary
63412,Delano Joint Union High
63420,Di Giorgio Elementary
63438,Edison Elementary
63446,Elk Hills Elementary
63461,Fairfax Elementary
