School Code,School Name,Zip Code
0,ALL,0
100016,Sherman Thomas Charter,93638
100024,Oak Meadow Elementary,95762
100040,McCaffrey Middle,95632
100057,Plumas County Community,95971
100065,Oakland Unity High,94605
100081,William J. (Pete) Knight High,93552
100099,CAVA@Jamestown,93063
100107,Vista Grande Elementary,91762
100115,Montera Elementary,91762
100123,E Oakland Leadership Academy,94605
100156,Lemoore University Elementary,93245
100164,Dr. Reynaldo J. Carreon Jr. A,92201
100180,Mountain Oaks High,93643
100198,Golden Valley High,93307
100206,George W. Bush Elementary,95212
100248,Las Palmitas Elementary,92274
100255,Desert Mirage High,92274
100263,Toro Canyon Middle,92274
100289,NEW Academy of Science & Arts,90017
100305,Cypress Charter High,95062
100339,Alternative Placement Academy,95126
100347,Almond Elementary,92335
100354,Hawthorne Math and Science Ac,90250
100362,Thurgood Marshall Elementary,93030
100388,Tierra Pacifica Charter,95062
100404,Sandra J. Gallardo Elementary,95630
100412,Monte Vista Elementary,92563
100420,Vista Murrieta High,92563
100461,Lone Tree Elementary,94531
100479,Dallas Ranch Middle,94531
100487,Norwood Junior High,95838
100495,Los Tules Middle,93274
100503,Freedom Crest Elementary,92584
100511,Lilac,92082
100529,Cesar E. Chavez High,93215
100537,Andros Karperos,95993
100545,Lake Mathews,92503
100560,Lois E. Borchardt Elementary,95240
100578,Edwin Rhodes Elementary,91710
100586,Michael G. Wickman Elementary,91710
100594,Liberty Elementary,91710
100602,"Lennox Mathematics, Science a",90304
100610,Huerta (Delores) Elementary,90304
100636,Pico Canyon Elementary,91381
100644,McGrath (Dr. J. Michael) Elem.,91321
100651,Mission Valley,93438
100669,Stella Middle Charter Academy,90016
100677,High Tech LA,91406
100685,Valle Verde,93307
100701,MetWest,94606
100735,Canyon Vista Elementary,92656
100743,Accelerated Elementary Charte,90011
100750,Wallis Annenberg High,90037
100768,CLAS Affirmation,90016
100776,North Valley Charter,91344
100792,Think College Now,94601
100800,Central City Value,90004
100867,KIPP LA College Preparatory,90023
100883,Vista del Mar Elementary,92673
100891,Vista del Mar Middle,92673
100909,Ladera Ranch Elementary,92694
100917,Ladera Ranch Middle,92694
100925,Temple Heights Elementary,92084
100933,Hannalei Elementary,92084
100941,Lakeside Middle,92571
100958,Sierra Vista Elementary,92571
100966,El Cerrito Middle,92881
100974,Clara Barton Elementary,92880
100982,Temescal Valley Elementary,92883
100990,Solorsano Middle,95020
101006,Sundance Elementary,92223
101014,McKee Middle,93307
101022,Rio Norte Junior High,91354
101030,Fox Road Elementary,95326
101048,St. HOPE Public School 7,95820
101071,Coastal Academy,92056
101097,French Valley Elementary,92596
101105,Gardner (Erle Stanley) Middle,92592
101121,McSweeny Elementary,92543
101139,Harmony Elementary,92545
101147,Grace Hudson Elementary,95482
101154,Stelle (Alice C.) Middle,91302
101162,Pioneer High,95776
101170,California Military Institute,92570
101188,Hunt Elementary,95360
101196,View Park Prep High,90056
101204,High Tech Middle,92106
101212,KIPP Summit Academy,94580
101220,RAI Online Charter,92028
101238,Denair Community Day,95316
